label,text,llm_check,suspect,style,group,accept
no,"হুম, এখন আর লাগবে না, বাদ দেন।",no,,plain refusal,4,
no,"জি, অর্ডারটা আপাতত ক্যান্সেল করে দেন",no,,"starts with হ্যাঁ/জি but then refuses (e.g. হ্যাঁ লাগবে না, জি না থাক)",5,
no,"হ্যাঁ, তবে এটা এখন আর লাগবে না",no,,"starts with হ্যাঁ/জি but then refuses (e.g. হ্যাঁ লাগবে না, জি না থাক)",5,
no,"জি না, আমার এখন আর দরকার নেই",no,,"starts with হ্যাঁ/জি but then refuses (e.g. হ্যাঁ লাগবে না, জি না থাক)",5,
no,"হ্যাঁ ভাই, অর্ডারটা ক্যান্সেল করে দিন প্লিজ",no,,"starts with হ্যাঁ/জি but then refuses (e.g. হ্যাঁ লাগবে না, জি না থাক)",5,
no,"জি, এটা আপাতত বাদ দিন",no,,"starts with হ্যাঁ/জি but then refuses (e.g. হ্যাঁ লাগবে না, জি না থাক)",5,
no,"হ্যাঁ আপু, এখন আর কনফার্ম করার দরকার নেই",no,,"starts with হ্যাঁ/জি but then refuses (e.g. হ্যাঁ লাগবে না, জি না থাক)",5,
no,"জি, আমি এটা এখন আর নিচ্ছি না",no,,"starts with হ্যাঁ/জি but then refuses (e.g. হ্যাঁ লাগবে না, জি না থাক)",5,
no,"উম, না থাক, অর্ডারটা ক্যান্সেল করে দেন",no,,"starts with হ্যাঁ/জি but then refuses (e.g. হ্যাঁ লাগবে না, জি না থাক)",5,
no,"জি না, আমার অর্ডারটা এখন ক্যান্সেল করতে চাই",no,,"starts with হ্যাঁ/জি but then refuses (e.g. হ্যাঁ লাগবে না, জি না থাক)",5,
no,"হ্যাঁ, এটা এখন আর নেওয়ার দরকার নেই",no,,"starts with হ্যাঁ/জি but then refuses (e.g. হ্যাঁ লাগবে না, জি না থাক)",5,
no,"জি, থাক ভাই, এটা এখন আর কনফার্ম করবেন না",no,,"starts with হ্যাঁ/জি but then refuses (e.g. হ্যাঁ লাগবে না, জি না থাক)",5,
no,"আসলে এখন আর লাগবে না, ক্যান্সেল করে দেন",no,,"starts with হ্যাঁ/জি but then refuses (e.g. হ্যাঁ লাগবে না, জি না থাক)",5,
no,"না ভাই, এখন টাকা নেই, পরে নিব",no,,"polite refusal with a reason (e.g. এখন টাকা নেই, পরে নিব)",6,
no,"আপু, এখন তো বাজেট নাই, পরে অর্ডার করবো",no,,"polite refusal with a reason (e.g. এখন টাকা নেই, পরে নিব)",6,
no,"উম, আসলে এখন নিচ্ছি না, পরে যোগাযোগ করবো",no,,"polite refusal with a reason (e.g. এখন টাকা নেই, পরে নিব)",6,
no,"না ভাই, আমার কাছে এখন টাকা নেই, অর্ডারটা ক্যান্সেল করেন",no,,"polite refusal with a reason (e.g. এখন টাকা নেই, পরে নিব)",6,
no,"হুম, এখন নিব না, বাজেট শর্ট আছে",no,,"polite refusal with a reason (e.g. এখন টাকা নেই, পরে নিব)",6,
no,"জি না, এখন অর্ডারটা কনফার্ম করবেন না, পরে নিব",no,,"polite refusal with a reason (e.g. এখন টাকা নেই, পরে নিব)",6,
no,"মানে, এখন তো টাকা নাই, পরে দেখি",no,,"polite refusal with a reason (e.g. এখন টাকা নেই, পরে নিব)",6,
no,"ভাইয়া, এখন বাজেট নেই, পরে অর্ডার করবো",no,,"polite refusal with a reason (e.g. এখন টাকা নেই, পরে নিব)",6,
no,"না থাক, এখন নিতে পারছি না, পরে নিব",no,,"polite refusal with a reason (e.g. এখন টাকা নেই, পরে নিব)",6,
no,"আসলে এখন টাকা নেই তো, তাই অর্ডারটা বাদ দিন",no,,"polite refusal with a reason (e.g. এখন টাকা নেই, পরে নিব)",6,
no,"জি না, পরে জানাবো, এখন বাজেট নাই",no,,"polite refusal with a reason (e.g. এখন টাকা নেই, পরে নিব)",6,
no,"উম, এখন তো নিতে পারবো না, পরে দেখা যাবে",no,,"polite refusal with a reason (e.g. এখন টাকা নেই, পরে নিব)",6,
no,"না ভাই, অর্ডারটা ক্যান্সেল করে দেন",no,,cancel using the English word ক্যান্সেল,7,
no,"উম, আসলে এখন আর লাগবে না, ক্যান্সেল করে দিন",no,,cancel using the English word ক্যান্সেল,7,
no,আপু আমার অর্ডারটা ক্যান্সেল করে দেন তো,no,,cancel using the English word ক্যান্সেল,7,
no,"না থাক, আমার অর্ডারটা ক্যান্সেল করে দিন",no,,cancel using the English word ক্যান্সেল,7,
no,"হুম, এটা ক্যান্সেল করে দিলে ভালো হয়",no,,cancel using the English word ক্যান্সেল,7,
no,"জি, অর্ডারটা ক্যান্সেল করে দেন",no,,cancel using the English word ক্যান্সেল,7,
no,"মানে এখন আর নিব না, ক্যান্সেল করে দিন প্লিজ",no,,cancel using the English word ক্যান্সেল,7,
no,"না ভাই, ক্যান্সেল করে দেন, এখন আর দরকার নেই",no,,cancel using the English word ক্যান্সেল,7,
no,"অর্ডারটা ক্যান্সেল করে দেন, এখন আর নিচ্ছি না",no,,cancel using the English word ক্যান্সেল,7,
no,"না আপু, ক্যান্সেল করে দেন, সরি",no,,cancel using the English word ক্যান্সেল,7,
no,"আসলে এখন আর লাগবে না, অর্ডারটা ক্যান্সেল করে দিন",no,,cancel using the English word ক্যান্সেল,7,
no,"না থাক ভাই, আমারটা ক্যান্সেল করে দেন",no,,cancel using the English word ক্যান্সেল,7,
yes,"জি, কনফার্ম করে দেন।",yes,,plain agreement,12,
yes,"হ্যাঁ ভাই, অর্ডারটা কনফার্ম করেন।",yes,,plain agreement,12,
yes,"হুম, ঠিক আছে, কনফার্ম করে ফেলেন।",yes,,plain agreement,12,
yes,"জি আপু, এটাই আমার অর্ডার।",yes,,plain agreement,12,
yes,"হ্যাঁ, অর্ডারটা কনফার্ম করে দিন।",yes,,plain agreement,12,
yes,"উম, হ্যাঁ ঠিক আছে, কনফার্ম করেন।",yes,,plain agreement,12,
yes,"জি ভাই, অর্ডারটা কনফার্ম করে রাখেন।",yes,,plain agreement,12,
yes,"হ্যাঁ, সব ঠিক আছে, কনফার্ম করেন।",yes,,plain agreement,12,
yes,"আচ্ছা, কনফার্ম করে দেন তো।",yes,,plain agreement,12,
yes,"জ্বি, এই অর্ডারটাই কনফার্ম করেন।",yes,,plain agreement,12,
yes,"হুম, এটাই ঠিক আছে, কনফার্ম করেন।",yes,,plain agreement,12,
yes,"জি, অর্ডারটা কনফার্ম করে দিন প্লিজ।",yes,,plain agreement,12,
yes,"না না সমস্যা নেই, কনফার্ম করে দেন।",yes,,starts with না/না না but then agrees (e.g. না না ঠিক আছে দিয়ে দেন),13,
yes,"না না ঠিক আছে, অর্ডারটা দিয়ে দেন ভাই।",yes,,starts with না/না না but then agrees (e.g. না না ঠিক আছে দিয়ে দেন),13,
yes,"না মানে আর কিছু লাগবে না, করে দিন।",yes,,starts with না/না না but then agrees (e.g. না না ঠিক আছে দিয়ে দেন),13,
yes,"না না সব ঠিক আছে, কনফার্ম করেন আপু।",yes,,starts with না/না না but then agrees (e.g. না না ঠিক আছে দিয়ে দেন),13,
yes,"না না চেঞ্জ করতে হবে না, কনফার্ম করেন।",yes,,starts with না/না না but then agrees (e.g. না না ঠিক আছে দিয়ে দেন),13,
yes,"না না এটা থাক, অর্ডারটা কনফার্ম করে দেন।",yes,,starts with না/না না but then agrees (e.g. না না ঠিক আছে দিয়ে দেন),13,
yes,"না না আর কিছু যোগ করবেন না, এটাই ফাইনাল।",yes,,starts with না/না না but then agrees (e.g. না না ঠিক আছে দিয়ে দেন),13,
yes,"না না ঠিক আছে, আমার অর্ডারটা কনফার্ম করেন।",yes,,starts with না/না না but then agrees (e.g. না না ঠিক আছে দিয়ে দেন),13,
yes,"না না আর কিছু লাগবে না, দিয়ে দেন।",yes,,starts with না/না না but then agrees (e.g. না না ঠিক আছে দিয়ে দেন),13,
yes,"না না একদম ঠিক আছে, করে দিন ভাইয়া।",yes,,starts with না/না না but then agrees (e.g. না না ঠিক আছে দিয়ে দেন),13,
yes,"না না আর দেখার দরকার নেই, কনফার্ম করে দেন।",yes,,starts with না/না না but then agrees (e.g. না না ঠিক আছে দিয়ে দেন),13,
yes,"না না ঠিক আছে ভাই, অর্ডারটা কনফার্ম করেন।",yes,,starts with না/না না but then agrees (e.g. না না ঠিক আছে দিয়ে দেন),13,
yes,"জি, কনফার্ম করে দিন তবে ডেলিভারিটা যেন দ্রুত হয়।",yes,,"agreement plus a small request (e.g. হ্যাঁ, একটু তাড়াতাড়ি পাঠাবেন)",14,
yes,"হ্যাঁ ভাই, অর্ডারটা কনফার্ম করেন আর একটু তাড়াতাড়ি পাঠালে ভালো হয়।",yes,,"agreement plus a small request (e.g. হ্যাঁ, একটু তাড়াতাড়ি পাঠাবেন)",14,
yes,"হুম কনফার্ম করেন, তবে প্লিজ পার্সেলটা তাড়াতাড়ি পাঠাবেন।",yes,,"agreement plus a small request (e.g. হ্যাঁ, একটু তাড়াতাড়ি পাঠাবেন)",14,
yes,"জি আপু কনফার্ম করে দিন, যত দ্রুত সম্ভব পাঠালে ভালো হয়।",yes,,"agreement plus a small request (e.g. হ্যাঁ, একটু তাড়াতাড়ি পাঠাবেন)",14,
yes,হ্যাঁ কনফার্ম করেন কিন্তু একটু তাড়াতাড়ি ডেলিভারি দিবেন ভাই।,yes,,"agreement plus a small request (e.g. হ্যাঁ, একটু তাড়াতাড়ি পাঠাবেন)",14,
yes,"আচ্ছা কনফার্ম করে দিন, কালকের মধ্যেই পাঠালে খুব ভালো হতো।",yes,,"agreement plus a small request (e.g. হ্যাঁ, একটু তাড়াতাড়ি পাঠাবেন)",14,
yes,"উম জি কনফার্ম করে দেন, একটু দ্রুত পাঠানোর ব্যবস্থা করবেন।",yes,,"agreement plus a small request (e.g. হ্যাঁ, একটু তাড়াতাড়ি পাঠাবেন)",14,
yes,"হ্যাঁ ভাই কনফার্ম করেন, তাড়াতাড়ি হাতে পেলে ভালো হতো।",yes,,"agreement plus a small request (e.g. হ্যাঁ, একটু তাড়াতাড়ি পাঠাবেন)",14,
yes,"জি, অর্ডারটা কনফার্ম করেন আর একটু তাড়াতাড়ি পাঠাবেন প্লিজ।",yes,,"agreement plus a small request (e.g. হ্যাঁ, একটু তাড়াতাড়ি পাঠাবেন)",14,
yes,"হ্যাঁ কনফার্ম করে দেন, পার্সেলটা একটু দ্রুত পাঠালে খুশি হতাম।",yes,,"agreement plus a small request (e.g. হ্যাঁ, একটু তাড়াতাড়ি পাঠাবেন)",14,
yes,"জি কনফার্ম করেন, একটু তাড়াতাড়ি পাঠাতে পারলে ভালো হয়।",yes,,"agreement plus a small request (e.g. হ্যাঁ, একটু তাড়াতাড়ি পাঠাবেন)",14,
yes,"হ্যাঁ ভাই কনফার্ম করেন, একটু তাড়াতাড়ি ডেলিভারি দিবেন আশা করি।",yes,,"agreement plus a small request (e.g. হ্যাঁ, একটু তাড়াতাড়ি পাঠাবেন)",14,
yes,"উম, হ্যাঁ ভাই, অর্ডারটা কনফার্ম করে দেন।",yes,,"hesitant but finally agrees, with fillers",15,
yes,"মানে, আসলে ঠিক আছে, কনফার্ম করে দেন আপু।",yes,,"hesitant but finally agrees, with fillers",15,
yes,"হুম, ঠিক আছে, অর্ডারটা কনফার্ম করতে পারেন।",yes,,"hesitant but finally agrees, with fillers",15,
yes,"জি, কনফার্ম করে দিন, তবে দেরি যেন না হয়।",yes,,"hesitant but finally agrees, with fillers",15,
yes,"আচ্ছা ঠিক আছে, কনফার্ম করে দেন ভাই।",yes,,"hesitant but finally agrees, with fillers",15,
yes,"আসলে... জি, কনফার্ম করে দিন।",yes,,"hesitant but finally agrees, with fillers",15,
yes,"হুম, কনফার্ম করে দেন ভাই, সমস্যা নেই।",yes,,"hesitant but finally agrees, with fillers",15,
yes,"উম, জি অর্ডারটা কনফার্ম করে দিতে পারেন।",yes,,"hesitant but finally agrees, with fillers",15,
yes,"মানে, ঠিক আছে, কনফার্ম করে দিন আপু।",yes,,"hesitant but finally agrees, with fillers",15,
yes,"হুম, জি ভাই, কনফার্ম করে দেন।",yes,,"hesitant but finally agrees, with fillers",15,
yes,"আচ্ছা ভাই, অর্ডারটা কনফার্ম করে দিন তো।",yes,,"hesitant but finally agrees, with fillers",15,
yes,"উম, জি, কনফার্ম করে দেন, ঠিক আছে।",yes,,"hesitant but finally agrees, with fillers",15,
yes,জ্বি আপু অর্ডারটা কনফার্ম করে ফেলেন,yes,,plain agreement,16,
yes,হুম ঠিক আছে এটাই অর্ডার করে দেন,yes,,plain agreement,16,
yes,অর্ডারটা কনফার্ম রাখেন,yes,,plain agreement,16,
yes,হ্যাঁ কনফার্ম করেন,yes,,plain agreement,16,
yes,জি ভাইয়া সব ঠিক আছে কনফার্ম করে দেন,yes,,plain agreement,16,
yes,হুম অর্ডারটা কনফার্ম করে দিন,yes,,plain agreement,16,
yes,জ্বি ভাই কনফার্ম করে ফেলেন,yes,,plain agreement,16,
yes,ঠিক আছে ভাইয়া অর্ডারটা কনফার্ম করেন,yes,,plain agreement,16,
yes,হ্যাঁ আপু কনফার্ম করে দেন,yes,,plain agreement,16,
yes,জি অর্ডার কনফার্ম করে দিন,yes,,plain agreement,16,
yes,হ্যাঁ ভাই এটাই অর্ডার করে দেন,yes,,plain agreement,16,
yes,না না ঠিক আছে কনফার্ম করে দিন,yes,,starts with না/না না but then agrees (e.g. না না ঠিক আছে দিয়ে দেন),17,
yes,না মানে আর কিছু লাগবে না এটা কনফার্ম করে দেন,yes,,starts with না/না না but then agrees (e.g. না না ঠিক আছে দিয়ে দেন),17,
yes,না না সমস্যা নেই অর্ডারটা কনফার্ম করেন,yes,,starts with না/না না but then agrees (e.g. না না ঠিক আছে দিয়ে দেন),17,
yes,না না ঠিক আছে ভাই অর্ডারটা দিয়ে দেন,yes,,starts with না/না না but then agrees (e.g. না না ঠিক আছে দিয়ে দেন),17,
yes,না না আর কিছু না কনফার্ম করে ফেলেন,yes,,starts with না/না না but then agrees (e.g. না না ঠিক আছে দিয়ে দেন),17,
yes,না না আর লাগবে না এটাই কনফার্ম করেন,yes,,starts with না/না না but then agrees (e.g. না না ঠিক আছে দিয়ে দেন),17,
yes,না না ঠিক আছে এটা কনফার্ম করে দেন,yes,,starts with না/না না but then agrees (e.g. না না ঠিক আছে দিয়ে দেন),17,
yes,না না আর কিছু না কনফার্ম করে দিন ভাই,yes,,starts with না/না না but then agrees (e.g. না না ঠিক আছে দিয়ে দেন),17,
yes,না না ঠিক আছে অর্ডারটা কনফার্ম করেন,yes,,starts with না/না না but then agrees (e.g. না না ঠিক আছে দিয়ে দেন),17,
yes,না না আর লাগবে না এটাই কনফার্ম করে ফেলেন,yes,,starts with না/না না but then agrees (e.g. না না ঠিক আছে দিয়ে দেন),17,
yes,না না ঠিক আছে আপু কনফার্ম করে দিন,yes,,starts with না/না না but then agrees (e.g. না না ঠিক আছে দিয়ে দেন),17,
yes,"হ্যাঁ ভাই, অর্ডারটা কনফার্ম করে দেন আর একটু দ্রুত পাঠাবেন প্লিজ।",yes,,"agreement plus a small request (e.g. হ্যাঁ, একটু তাড়াতাড়ি পাঠাবেন)",18,
yes,"জি, কনফার্ম করে দিন তবে ডেলিভারিটা যেন তাড়াতাড়ি হয়।",yes,,"agreement plus a small request (e.g. হ্যাঁ, একটু তাড়াতাড়ি পাঠাবেন)",18,
yes,"আচ্ছা ঠিক আছে, কনফার্ম করেন কিন্তু ডেলিভারিটা একটু দ্রুত করার চেষ্টা করবেন।",yes,,"agreement plus a small request (e.g. হ্যাঁ, একটু তাড়াতাড়ি পাঠাবেন)",18,
yes,"হুম, কনফার্ম করে দিন তো, আর যত দ্রুত সম্ভব পাঠালে ভালো হয়।",yes,,"agreement plus a small request (e.g. হ্যাঁ, একটু তাড়াতাড়ি পাঠাবেন)",18,
yes,"জি আপু, অর্ডারটা কনফার্ম করেন কিন্তু একটু জলদি পাঠায়েন।",yes,,"agreement plus a small request (e.g. হ্যাঁ, একটু তাড়াতাড়ি পাঠাবেন)",18,
yes,"হ্যাঁ ভাই, কনফার্ম করে দিন কিন্তু ডেলিভারিটা একটু দ্রুত দিবেন।",yes,,"agreement plus a small request (e.g. হ্যাঁ, একটু তাড়াতাড়ি পাঠাবেন)",18,
yes,"ঠিক আছে কনফার্ম করে দিন, তবে পার্সেলটা একটু দ্রুত পাঠাবেন।",yes,,"agreement plus a small request (e.g. হ্যাঁ, একটু তাড়াতাড়ি পাঠাবেন)",18,
yes,"উম, হ্যাঁ কনফার্ম করে দিন, আর একটু তাড়াতাড়ি পেলে সুবিধা হয়।",yes,,"agreement plus a small request (e.g. হ্যাঁ, একটু তাড়াতাড়ি পাঠাবেন)",18,
yes,"জি ভাই, কনফার্ম করেন আর ডেলিভারিটা যত দ্রুত পারা যায় পাঠাবেন।",yes,,"agreement plus a small request (e.g. হ্যাঁ, একটু তাড়াতাড়ি পাঠাবেন)",18,
yes,"হুম, কনফার্ম করে দিন আর একটু দ্রুত পাঠানোর ব্যবস্থা করেন।",yes,,"agreement plus a small request (e.g. হ্যাঁ, একটু তাড়াতাড়ি পাঠাবেন)",18,
yes,"হ্যাঁ, অর্ডারটা কনফার্ম করে ফেলেন আর একটু দ্রুত ডেলিভারি দিলে খুশি হবো।",yes,,"agreement plus a small request (e.g. হ্যাঁ, একটু তাড়াতাড়ি পাঠাবেন)",18,
yes,"আচ্ছা ভাই, কনফার্ম করেন কিন্তু পার্সেলটা একটু দ্রুত পাঠাইয়েন।",yes,,"agreement plus a small request (e.g. হ্যাঁ, একটু তাড়াতাড়ি পাঠাবেন)",18,
yes,"মানে, আসলে ঠিক আছে, কনফার্ম করে দিন",yes,,"hesitant but finally agrees, with fillers",19,
yes,"হুম, ঠিক আছে আপু, কনফার্ম করে ফেলেন",yes,,"hesitant but finally agrees, with fillers",19,
yes,"আসলে ভাবছিলাম, নাহ ঠিক আছে করে দিন",yes,,"hesitant but finally agrees, with fillers",19,
yes,"উম, মানে অর্ডারটা কনফার্ম করে দেন তো",yes,,"hesitant but finally agrees, with fillers",19,
yes,"হুম, আচ্ছা ভাই, কনফার্ম করে দেন তাহলে",yes,,"hesitant but finally agrees, with fillers",19,
yes,"আসলে মানে হ্যাঁ, কনফার্ম করে দিন",yes,,"hesitant but finally agrees, with fillers",19,
yes,"উম, আচ্ছা আপু, অর্ডারটা কনফার্ম করে রাখেন",yes,,"hesitant but finally agrees, with fillers",19,
yes,"হুম, ঠিক আছে ভাইয়া, কনফার্ম করে দিন",yes,,"hesitant but finally agrees, with fillers",19,
yes,"মানে, আসলে কনফার্ম করে ফেলেন আর কি",yes,,"hesitant but finally agrees, with fillers",19,
yes,"উম, ঠিক আছে আপু, কনফার্ম করে দিন",yes,,"hesitant but finally agrees, with fillers",19,
yes,"হুম, মানে ঠিক আছে ভাই, করে ফেলেন",yes,,"hesitant but finally agrees, with fillers",19,
yes,"জি, অর্ডারটা কনফার্ম করে ফেলেন",yes,,plain agreement,20,
yes,ঠিক আছে আপু অর্ডারটা কনফার্ম করে দিন,yes,,plain agreement,20,
yes,হ্যাঁ ভাইয়া কনফার্ম করে দিন প্লিজ,yes,,plain agreement,20,
yes,জি জি কনফার্ম করে ফেলেন,yes,,plain agreement,20,
yes,উম হ্যাঁ ঠিক আছে অর্ডারটা নিয়ে নিন,yes,,plain agreement,20,
yes,আচ্ছা ভাই কনফার্ম করে দেন,yes,,plain agreement,20,
yes,হ্যাঁ আমার অর্ডারটা কনফার্ম করে দিন,yes,,plain agreement,20,
yes,জি এইটা কনফার্ম করে দেন,yes,,plain agreement,20,
yes,হ্যাঁ এটাই অর্ডার করে দেন,yes,,plain agreement,20,
yes,আচ্ছা আপু অর্ডারটা কনফার্ম করে ফেলেন,yes,,plain agreement,20,
