row_id,text,dataset_intent,llm_intent,llm_alt,script
train-591,কেউ কি অনলাইনে আছেন প্লিজ,greeting,agent_request,,bn
train-595,errur,payment_issue,complaint,payment_issue,bl
train-644,kotha bula jabe,greeting,agent_request,,bl
train-669,Delivery charge koto,shipping_delivery,price_inquiry,shipping_delivery,bl
train-675,aro ektu kom rakhajay na,discount_offer,price_inquiry,,bl
train-709,tin din hoye gelo ekhono pai nai,order_status,shipping_delivery,order_status,bl
train-711,alright thanks goodbye,goodbye,thanks,goodbye,en
train-718,fail,payment_issue,complaint,,bl
train-724,একটু হ্যালো ভাই কথা বলা যাবে,greeting,agent_request,greeting,bn
train-731,eto deri keno hocche,complaint,shipping_delivery,complaint,bl
train-762,What is your name,out_of_scope,greeting,,en
train-864,একটু কাল কি ছুটি আছে প্লিজ,out_of_scope,shipping_delivery,,bn
train-809,which one is yuur best,product_search,out_of_scope,,en
train-815,প্যাকেট ছেঁড়া অবস্থায় এসেছে প্লিজ,complaint,return_refund,complaint,bn
train-816,it brke on the very first day,complaint,return_refund,complaint,en
train-817,এত দেরি কেন হচ্ছে প্লিজ,complaint,shipping_delivery,complaint,bn
train-820,"ami ekhane notun tai ektu help korun, shob bujhe gechi rakhi",goodbye,greeting,,bl
train-823,Fail,payment_issue,complaint,,bl
train-827,ভাই ভাই সাহেব আছেন,greeting,agent_request,,bn
train-829,Vai saheb achen,greeting,agent_request,,bl
train-831,কালকে পাবো তো এটা??,product_availability,shipping_delivery,,bn
train-836,শুনেন ল্যাপটপ আছে কি একটু,product_search,product_availability,,bn
train-837,আচ্ছা কি বললেন বুঝলাম না কিছুই,out_of_scope,complaint,,bn
train-839,What will the sale price be,discount_offer,price_inquiry,discount_offer,en
train-885,cas on delivery ache ki,shipping_delivery,payment_issue,,bl
train-895,excuse me i received a damaged item sir,complaint,return_refund,complaint,en
train-913,kothai,order_status,shipping_delivery,order_status,bl
train-930,আপনারা কি খোলা আছেন এখন??,greeting,out_of_scope,,bn
train-932,kal kichuti ache,out_of_scope,order_status,,bl
train-941,beshi nile kom rakhben ki,discount_offer,price_inquiry,discount_offer,bl
train-948,ভাই একটু শুনবেন দয়া করে,greeting,agent_request,,bn
train-949,"my friend suggested your page, is the small size free",product_availability,price_inquiry,,en
train-967,ar lagbe nabad din,order_cancel,goodbye,,bl
train-987,khubbaje,complaint,out_of_scope,,bl
train-993,আজ পাবো কি প্লিজ,order_status,shipping_delivery,order_status,bn
train-999,ভাই ফ্রি ডেলিভারি কত টাকার অর্ডারে প্লিজ,shipping_delivery,discount_offer,,bn
train-1008,i rceived a damaged item,complaint,return_refund,complaint,en
train-1027,delivered dekhacche kntu pai nai,order_status,shipping_delivery,complaint,bl
train-1034,apu acen ki,greeting,agent_request,,bl
train-1042,আপা আছেন কি প্লিজ,greeting,agent_request,,bn
train-1125,anycode,discount_offer,out_of_scope,,en
train-1134,শুভ সকাল কোড,discount_offer,greeting,,bn
train-1151,Got any,product_availability,product_search,,en
train-1152,kube pabo,order_status,shipping_delivery,,bl
train-1189,কত টাকা অগ্রিম দিতে হবে একটু,shipping_delivery,payment_issue,,bn
train-1201,how far ismy parcel,order_status,shipping_delivery,order_status,en
train-1237,sale er somoy dam koto hobe agei dhonnobad,discount_offer,price_inquiry,discount_offer,bl
train-1247,are you a human,out_of_scope,agent_request,,en
train-1267,তিন দিন হয়ে গেল এখনো পেলাম না,order_status,shipping_delivery,order_status,bn
train-1271,Beshi nile kom rakhben ki,discount_offer,price_inquiry,discount_offer,bl
train-1046,where,order_status,out_of_scope,,en
train-1048,কিছু না দয়া করে,out_of_scope,goodbye,,bn
train-1060,"অনেকদিন অপেক্ষা করছি, পাঞ্জাবি আছে কি",product_search,product_availability,,bn
train-1082,apu achen ki,greeting,agent_request,,bl
train-1091,laptop ace ki,product_search,product_availability,,bl
train-1110,দাম কি একটু কমানো যায় দয়া করে,price_inquiry,discount_offer,price_inquiry,bn
train-1118,Anything new for eid,product_search,discount_offer,product_search,en
train-1293,দেখা হবে??,goodbye,out_of_scope,,bn
train-1294,keu achen,greeting,agent_request,,bl
train-1298,cosht,price_inquiry,out_of_scope,,en
train-1306,nice??,thanks,out_of_scope,,en
train-1309,ektu hotash ektu,complaint,out_of_scope,,bl
train-1321,Still there,product_availability,agent_request,,en
train-1370,পাঞ্জাবি আছে কি,product_search,product_availability,product_search,bn
train-1373,আরো একটু kom rakha jay na,discount_offer,price_inquiry,discount_offer,mx
train-1379,headphone ace ki,product_search,product_availability,,bl
train-1405,assalamu alaikum you are just holding my money,complaint,payment_issue,complaint,en
train-1407,আচ্ছা শুনছেন আমার কথা,greeting,agent_request,,bn
train-1539,ok rate asap,price_inquiry,agent_request,,en
train-1544,it sais delivered but i did not get it,order_status,shipping_delivery,complaint,en
train-1565,is cash ondelivery available,shipping_delivery,payment_issue,,en
train-1328,একটু শুভ রাত্রি ভাই একটু,goodbye,greeting,,bn
train-1333,cash on delivery আছে ki,shipping_delivery,payment_issue,product_availability,mx
train-1335,কি বললেন বুঝলাম না কিছুই?,out_of_scope,complaint,,bn
train-1337,kotha bola jabe,greeting,agent_request,,bl
train-1346,আচ্ছা হ্যালো ভাই কথা বলা যাবে প্লিজ,greeting,agent_request,,bn
train-1494,ok what is this please,complaint,product_search,,en
train-1500,কোড,discount_offer,product_search,,bn
train-1516,do you have punjabi,product_search,product_availability,,en
train-1522,kothay,order_status,product_search,,bl
train-1568,কথা বলতে পারি প্লিজ,greeting,agent_request,,bn
train-1574,eto deri kenu hocche,complaint,shipping_delivery,complaint,bl
train-1577,এটা কি বন্ধ করে দিয়েছেন,product_availability,order_status,,bn
train-1421,ki bollen bujhlam না kichui,out_of_scope,complaint,,mx
train-1428,আচ্ছা অন্য কিছু একটু,product_search,out_of_scope,,bn
train-1436,একটু কবে পাবো ভাই,order_status,shipping_delivery,,bn
train-1445,আমি গত সপ্তাহে আপনাদের থেকে অর্ডার করেছিলাম আর তুমি কি আমাকে ভালোবাসো,out_of_scope,order_status,out_of_scope,bn
train-1447,পরে জানাবো ভাই,goodbye,out_of_scope,,bn
train-1449,ekhuno opekkha korchi jinis ta kothay,order_status,shipping_delivery,order_status,bl
train-1451,কি বললেন বুঝলাম না কিছুই,out_of_scope,complaint,,bn
train-1464,কালকের অর্ডার আজ পাবো তো,order_status,shipping_delivery,order_status,bn
train-1473,the item does not match the picture??,complaint,return_refund,complaint,en
train-1475,keu acen,greeting,agent_request,,bl
train-1486,chrge koto,shipping_delivery,price_inquiry,shipping_delivery,bl
train-1739,একটু কালকের অর্ডার আজ পাবো তো,order_status,shipping_delivery,order_status,bn
train-1746,Show more,product_search,out_of_scope,,en
train-1751,হ্যালো কেউ কি আছেন দয়া করে,greeting,agent_request,,bn
train-1758,shob valu to,greeting,out_of_scope,,bl
train-1760,gotany,product_availability,out_of_scope,,en
train-1653,i received a damaged item,complaint,return_refund,complaint,en
train-1660,Is cash on delivery available,shipping_delivery,product_availability,shipping_delivery,en
train-1671,it broke on the very first day,complaint,return_refund,complaint,en
train-1689,কে তুমি ভাই,out_of_scope,greeting,,bn
train-1691,শুনেন আছেন দয়া করে,greeting,agent_request,,bn
train-1695,এখন অর্ডার করলে পাবো??,product_availability,shipping_delivery,product_availability,bn
train-1696,আপা আছেন কি,greeting,agent_request,greeting,bn
train-1700,হ্যালো ভাই কথা বলা যাবে,greeting,agent_request,,bn
train-1711,sale er somy dam koto hobe,discount_offer,price_inquiry,discount_offer,bl
train-1722,salam notun kichu,product_search,greeting,product_search,bl
train-1769,eta ki shsh hoye gache,product_availability,order_status,,bl
train-1775,My coupon is not working,discount_offer,payment_issue,discount_offer,en
train-1777,Can i pay when i receive it,shipping_delivery,payment_issue,,en
train-1786,ok tahule,goodbye,thanks,,bl
train-1799,the culour bled on the first wash,complaint,return_refund,complaint,en
train-1801,Ekhono opekkha korchi jinis ta kothay,order_status,shipping_delivery,order_status,bl
train-1848,একটু ১২৩৪৫৬,out_of_scope,order_status,,bn
train-1861,একটু চার্জ কত,shipping_delivery,price_inquiry,,bn
train-1865,accha koto taka ogrim dite hobe apu,shipping_delivery,payment_issue,price_inquiry,bl
train-1910,সবচেয়ে কম দামি কোনটা??,price_inquiry,product_search,price_inquiry,bn
train-1915,done,goodbye,thanks,,en
train-1921,হ্যালো কেউ কি আছেন,greeting,agent_request,,bn
train-1926,couponkaj korche na,discount_offer,payment_issue,discount_offer,bl
train-1927,ok tahole,goodbye,thanks,,bl
train-1812,ডেলিভারি হয়ে গেছে দেখাচ্ছে কিন্তু পাইনি .,order_status,shipping_delivery,complaint,bn
train-1813,excuse me will i get it today,order_status,shipping_delivery,,en
train-1816,একটু কুপন কাজ করছে না,discount_offer,payment_issue,discount_offer,bn
train-1818,ক্যাশ অন ডেলিভারি আছে কি?,shipping_delivery,payment_issue,,bn
train-1825,so cant you make it a bit less please,discount_offer,price_inquiry,,en
train-1843,eto deri keno hocche vai,complaint,shipping_delivery,complaint,bl
train-2013,একটু এত দেরি কেন হচ্ছে,complaint,shipping_delivery,complaint,bn
train-2028,where is my package stuck??,order_status,shipping_delivery,order_status,en
train-2042,Done,goodbye,thanks,,en
train-1973,so why is it taking so long,complaint,shipping_delivery,complaint,en
train-1988,ok free delivery above how much thanks,shipping_delivery,discount_offer,shipping_delivery,en
train-1994,স্যার আছেন,greeting,agent_request,,bn
train-2053,ki bollen bujhlam na kichui,out_of_scope,agent_request,,bl
train-2058,delivered dekhacche kintu pai nai,order_status,shipping_delivery,complaint,bl
train-2063,kobe পাবো amar order,order_status,shipping_delivery,,mx
train-2072,একটু সময় হবে আপনার?,greeting,agent_request,,bn
train-2092,ashi,goodbye,greeting,,bl
train-2093,hi আছে keu,greeting,agent_request,greeting,mx
train-2098,chhr,discount_offer,out_of_scope,,bl
train-2106,er cheie sosta kichu ache,price_inquiry,product_search,price_inquiry,bl
train-2117,showmore,product_search,out_of_scope,,en
train-2119,If i order now will i get it,product_availability,shipping_delivery,,en
train-2211,sale ersomoy dam koto hobe,discount_offer,price_inquiry,discount_offer,bl
train-2222,ভাই হ্যালো কেউ কি আছেন,greeting,agent_request,,bn
train-2224,Vai online achen,greeting,agent_request,,bl
train-2135,কত টাকা অগ্রিম দিতে হবে,shipping_delivery,payment_issue,price_inquiry,bn
train-2138,ok tahole?,goodbye,greeting,,bl
train-2154,koto taka ogrimdite hobe,shipping_delivery,payment_issue,,bl
train-2155,hey what asap,out_of_scope,shipping_delivery,,en
train-2163,Will i get it today,order_status,shipping_delivery,,en
train-1931,if i order now will i get it?,product_availability,shipping_delivery,order_status,en
train-1942,kthay,order_status,out_of_scope,,bl
train-1943,একটু আপা আছেন কি,greeting,agent_request,,bn
train-1948,শুনেন কম দামে ভালো কিছু দেখান,product_search,price_inquiry,product_search,bn
train-2184,monei back,return_refund,goodbye,,en
train-2202,এটা কি বন্ধ করে দিয়েছেন একটু,product_availability,order_cancel,order_status,bn
train-2206,i received a damaged item?,complaint,return_refund,complaint,en
train-2289,সেলের সময় দাম কত হবে,discount_offer,price_inquiry,discount_offer,bn
train-2398,আজ পাবো কি??,order_status,shipping_delivery,order_status,bn
train-2404,eto দেরি keno hocche,complaint,shipping_delivery,complaint,mx
train-2330,the item does not match the picture,complaint,return_refund,complaint,en
train-2332,Eto deri keno hocche,complaint,shipping_delivery,complaint,bl
train-2337,ফেইল প্লিজ,payment_issue,complaint,,bn
train-2358,are you open right now,greeting,out_of_scope,,en
train-2360,will i get it tody,order_status,shipping_delivery,,en
train-2498,আচ্ছা কালকে পাবো তো এটা প্লিজ,product_availability,shipping_delivery,,bn
train-2499,কেউ কি অনলাইনে আছেন,greeting,agent_request,,bn
train-2511,ekhon order korle pabo,product_availability,shipping_delivery,,bl
train-2514,Shipping cost koto,shipping_delivery,price_inquiry,,bl
train-2520,ei bishoy ta upore janan bhai,agent_request,complaint,agent_request,bl
train-2522,কুরিয়ার চার্জ কে দিবে??,shipping_delivery,price_inquiry,shipping_delivery,bn
train-2411,i ordered from you last week and going offline now,goodbye,order_status,,en
train-2249,amar mal ta kothay atke ache .,order_status,shipping_delivery,order_status,bl
train-2257,apatoto etukui?,goodbye,out_of_scope,,bl
train-2267,delivered dekhacche কিন্তু pai nai,order_status,shipping_delivery,complaint,mx
train-2269,sorry to bother you but is cash on delivery available,shipping_delivery,payment_issue,product_availability,en
train-2273,sent bymistake,out_of_scope,order_cancel,,en
train-2284,amar mal ta kothay atke আছে,order_status,shipping_delivery,order_status,mx
train-2286,পার্সেল হাতে পেয়ে টাকা দিবো একটু,shipping_delivery,payment_issue,shipping_delivery,bn
train-2454,"my friend suggested your page, that will be all",goodbye,thanks,,en
train-2456,একটু পাঞ্জাবি আছে কি ভাই,product_search,product_availability,product_search,bn
train-2458,so is the small size free bro,product_availability,price_inquiry,discount_offer,en
train-2549,hey you are just holding my money asap,complaint,payment_issue,complaint,en
train-2556,ভাই একটু শুনবেন .,greeting,agent_request,,bn
train-2564,whats new?,product_search,discount_offer,product_search,en
train-2565,শুনেন একটু সময় হবে আপনার,greeting,agent_request,,bn
train-2569,hello is anyone online,greeting,agent_request,,en
train-2617,Kotodin,shipping_delivery,order_status,shipping_delivery,bl
train-2627,শুনেন আচ্ছা ঠিক আছে ধন্যবাদ যাই,goodbye,thanks,goodbye,bn
train-2643,lagbe না,order_cancel,goodbye,,mx
train-2652,একটু shunben vai,greeting,agent_request,,mx
train-2579,kobe পাবো,order_status,shipping_delivery,,mx
train-2594,coupon kaj korche na,discount_offer,payment_issue,discount_offer,bl
train-2609,what else,product_search,out_of_scope,,en
train-2612,still there bro,product_availability,greeting,,en
train-2742,ekhon order korle pabo reply diben please,product_availability,order_status,,bl
train-2749,এটা ki bondho kore diyechen,product_availability,order_status,,mx
train-2754,what will the sale price be,discount_offer,price_inquiry,,en
train-2693,Eta ki bondho kore diyechen,product_availability,order_status,product_availability,bl
train-2707,can i pay when ireceive it,shipping_delivery,payment_issue,,en
train-2714,my coupon is not working,discount_offer,payment_issue,discount_offer,en
train-2717,the colour bled on the firstwash,complaint,return_refund,complaint,en
train-2723,chargekoto,shipping_delivery,price_inquiry,,bl
train-2726,accha beshi nile kom rakhben ki apu,discount_offer,price_inquiry,discount_offer,bl
train-2857,codeboshale kaj kore na keno,discount_offer,payment_issue,discount_offer,bl
train-2861,ekon jete hobe,goodbye,out_of_scope,,bl
train-2863,ektu shunbenvai,greeting,agent_request,,bl
train-2882,আচ্ছা কেউ কি অনলাইনে আছেন দয়া করে,greeting,agent_request,,bn
train-2883,vai kotodur elo amar parcel vai,order_status,shipping_delivery,order_status,bl
train-2654,sale er সময় দাম koto hobe,discount_offer,price_inquiry,discount_offer,mx
train-2681,headphone আছে ki,product_search,product_availability,,mx
train-2690,ei bishoy ta upore janan?,agent_request,complaint,agent_request,bl
train-2774,ki bollen bujhlm na kichui,out_of_scope,complaint,,bl
train-2776,শুনেন কে তুমি আপু,out_of_scope,greeting,,bn
train-2789,nicchena,payment_issue,complaint,payment_issue,bl
train-2811,assalamu alaikum jai,goodbye,greeting,goodbye,bl
train-2826,It says delivered but i did not get it,order_status,shipping_delivery,order_status,en
train-2828,whats new,product_search,discount_offer,greeting,en
train-2829,my coupon isnot working,discount_offer,payment_issue,discount_offer,en
train-2833,delivery dhonnobad,shipping_delivery,thanks,shipping_delivery,bl
train-2834,hotas,complaint,out_of_scope,,bl
train-2839,can i pay when i receive it,shipping_delivery,payment_issue,,en
train-2851,shunen ekhon order korle pabo apu,product_availability,shipping_delivery,product_availability,bl
train-2898,শুনেন খবর কি,order_status,greeting,,bn
train-2902,keu phone dhore na??,complaint,agent_request,complaint,bl
train-2911,khaliache,product_availability,out_of_scope,,bl
train-2913,Sale er somoy dam koto hobe,discount_offer,price_inquiry,discount_offer,bl
train-2917,why is it taking so long,complaint,shipping_delivery,complaint,en
train-2939,কালকে পাবো তো এটা,product_availability,shipping_delivery,order_status,bn
train-2957,its been thre days and nothing yet,order_status,shipping_delivery,order_status,en
train-2958,Panjabi ache ki,product_search,product_availability,,bl
train-3013,আচ্ছা ১২৩৪৫৬ আপু,out_of_scope,order_status,,bn
train-3022,amar ar dorkar nai eta agei dhonnobad,order_cancel,goodbye,,bl
train-3028,১২৩৪৫৬,out_of_scope,order_status,,bn
train-3033,batl,order_cancel,out_of_scope,,bl
train-3038,monei gone,payment_issue,out_of_scope,,en
train-3046,আজ পাবো কি আপু,order_status,shipping_delivery,order_status,bn
train-2977,শুনেন এরর,payment_issue,complaint,payment_issue,bn
train-2980,anything new for eid thanks in advance,product_search,discount_offer,product_search,en
train-2999,when,order_status,out_of_scope,,en
train-3104,hi apu onno kichu,product_search,greeting,,bl
train-3111,accha tin din hoye gelo ekhono pai nai apu,order_status,shipping_delivery,order_status,bl
train-3126,delivered dekhacche kintu pai nai .,order_status,shipping_delivery,complaint,bl
train-3058,গেলাম একটু,goodbye,out_of_scope,,bn
train-3060,কুপন কাজ করছে না .,discount_offer,payment_issue,,bn
train-3086,kal ki chuti ache bhai,out_of_scope,shipping_delivery,,bl
train-3087,sent by mistake thanks,out_of_scope,thanks,,en
train-3140,ekdin এই noshto hoye গেছে jinis ta,complaint,return_refund,complaint,mx
train-3147,can you send a price list,price_inquiry,product_search,,en
train-3151,Assalamu alaikum jai,goodbye,greeting,,bl
train-3169,একটু ক্যাশ অন ডেলিভারি আছে কি,shipping_delivery,payment_issue,,bn
train-3223,hey when,order_status,shipping_delivery,order_status,en
train-3232,কত টাকা ogrim dite hobe,shipping_delivery,payment_issue,price_inquiry,mx
train-3239,Ki,out_of_scope,greeting,,bl
train-3242,খবর কি,order_status,greeting,,bn
train-3245,chobir sathe mil nai,complaint,return_refund,complaint,bl
train-3301,botna,agent_request,out_of_scope,,bl
train-3309,shunen shuvo ratri vai plz,goodbye,greeting,,bl
train-3311,coupon kaj krche na,discount_offer,payment_issue,discount_offer,bl
train-3256,ki bollen bujhlam na kicui,out_of_scope,agent_request,,bl
train-3257,not nided,order_cancel,out_of_scope,,en
train-3270,কথা বলতে পারি .,greeting,agent_request,,bn
train-3273,ভাই শুনছেন আপু,greeting,agent_request,,bn
train-3282,"ami ekhane notun tai ektu help korun, ache",product_availability,agent_request,,bl
train-3421,eto deri কেন hocche,complaint,shipping_delivery,complaint,mx
train-3422,Laptop ache ki,product_search,product_availability,,bl
train-3450,amar order ta kobe pabo .,order_status,shipping_delivery,order_status,bl
train-3451,শিপিং কস্ট কত প্লিজ,shipping_delivery,price_inquiry,shipping_delivery,bn
train-3334,বেশি nile kom rakhben ki,discount_offer,price_inquiry,discount_offer,mx
train-3340,eta ki bondho kore diiechen,product_availability,order_status,,bl
train-3341,vai apu achen ki,greeting,agent_request,greeting,bl
train-3345,acchatai,out_of_scope,greeting,,bl
train-3355,koto taka ogrim dite hobe,shipping_delivery,payment_issue,price_inquiry,bl
train-3356,vai saheb achen,greeting,agent_request,greeting,bl
train-3367,ডেলিভারি হয়ে গেছে দেখাচ্ছে কিন্তু পাইনি,order_status,shipping_delivery,complaint,bn
train-3386,nothing else needed bye thanks,goodbye,thanks,goodbye,en
train-3511,vai ektu shunben vai,greeting,agent_request,,bl
train-3519,code boshale kaj kore na keno,discount_offer,payment_issue,discount_offer,bl
train-3531,শুনেন হাহাহা,out_of_scope,greeting,,bn
train-3484,ok will you go lower if i buy more,discount_offer,price_inquiry,discount_offer,en
train-3544,এখন অর্ডার করলে পাবো ভাই,product_availability,shipping_delivery,product_availability,bn
train-3546,"আমার বন্ধু আপনাদের পেজ সাজেস্ট করলো, শুভ রাত্রি",goodbye,greeting,,bn
train-3549,চার্জ কত,shipping_delivery,price_inquiry,shipping_delivery,bn
train-3551,শুভ সকাল ঢাকার বাইরে,shipping_delivery,greeting,,bn
train-3574,আপনারা কি khola achen ekhon,greeting,out_of_scope,,mx
train-3619,is cash on delivery available??,shipping_delivery,payment_issue,,en
train-3640,আচ্ছা পার্সেল হাতে পেয়ে টাকা দিবো,shipping_delivery,payment_issue,shipping_delivery,bn
train-3580,pure ashbo,goodbye,out_of_scope,,bl
train-3669,ফেইল,payment_issue,complaint,,bn
train-3673,laptop ache ki,product_search,product_availability,,bl
train-3690,assalamu alaikum not needed,order_cancel,goodbye,,en
train-3703,Hmm,out_of_scope,greeting,,en
train-3709,শুনেন কথা বলতে পারি,greeting,agent_request,,bn
train-3722,headphone ache কি,product_search,product_availability,,mx
train-3799,ok hahaha,out_of_scope,greeting,,en
train-3807,ল্যাপটপ আছে কি,product_search,product_availability,,bn
train-3829,শুনেন তিন দিন হয়ে গেল এখনো পেলাম না,order_status,shipping_delivery,complaint,bn
train-3745,আচ্ছা নতুন কিছু আপু,product_search,discount_offer,product_search,bn
train-3750,anything new for eid,product_search,discount_offer,product_search,en
train-3761,রঙ উঠে গেছে প্রথম ধোয়াতেই প্লিজ,complaint,return_refund,complaint,bn
train-3764,"my friend suggested your page, thats all for now",goodbye,thanks,,en
train-3768,কোড বসালে কাজ করে না কেন,discount_offer,payment_issue,discount_offer,bn
train-3878,ekhon orderkorle pabo,product_availability,shipping_delivery,order_status,bl
train-3881,তিন দিন হয়ে গেল এখনো পেলাম না??,order_status,shipping_delivery,complaint,bn
train-3906,can you reduce the prce,price_inquiry,discount_offer,price_inquiry,en
train-3915,accha tai,out_of_scope,thanks,,bl
train-3916,কুরিয়ারে দিয়েছেন কি,order_status,shipping_delivery,order_status,bn
train-3919,হ্যালো কেউ কি আছেন ভাই,greeting,agent_request,greeting,bn
train-3979,আচ্ছা এটা কি বন্ধ করে দিয়েছেন,product_availability,order_status,product_availability,bn
train-3989,এত দেরি কেন হচ্ছে,complaint,shipping_delivery,complaint,bn
train-4005,laptop আছে ki,product_search,product_availability,,mx
train-4018,ami last week apnader theke order korechilam ar pore abar kotha hobe,goodbye,order_status,,bl
train-4020,keuachen,greeting,agent_request,,bl
train-4022,স্যার আছেন ভাই,greeting,agent_request,,bn
train-4027,ভাই একটু শুনবেন,greeting,agent_request,,bn
train-4045,কালকে পাবো তো এটা ভাই,product_availability,shipping_delivery,,bn
train-4051,খবর কি একটু,order_status,greeting,,bn
train-4144,ভাই কি,out_of_scope,greeting,,bn
train-4168,panjabi acheki,product_search,product_availability,,bl
train-4100,কি বললেন বুঝলাম না কিছুই একটু,out_of_scope,complaint,,bn
train-4104,ektu eta ki bondho kore diyechen bhai,product_availability,order_status,order_cancel,bl
train-4108,areyou a human,out_of_scope,agent_request,,en
train-4109,hi apu headphone ache ki,product_search,product_availability,greeting,bl
train-4067,ok it says delivered but i did not get it sir,order_status,shipping_delivery,complaint,en
train-4077,"amar bondhu apnader page suggest korlo, kotha bola jabe",greeting,agent_request,,bl
train-4090,অন্য কিছু ধন্যবাদ,product_search,goodbye,,bn
train-3940,anything else??,product_search,out_of_scope,,en
train-3970,Will update you later,goodbye,out_of_scope,,en
train-4189,Other options,product_search,out_of_scope,,en
train-4211,Onno kichu,product_search,out_of_scope,,bl
train-4230,একটু কেউ কি অনলাইনে আছেন,greeting,agent_request,,bn
train-4235,আরো ektu kom rakha jay না,discount_offer,price_inquiry,,mx
train-4246,has itbeen handed to courier,order_status,shipping_delivery,order_status,en
train-4250,ল্যাপটপ আছে কি রিপ্লাই দিবেন প্লিজ,product_search,product_availability,,bn
train-4252,is the small size free,product_availability,price_inquiry,product_availability,en
train-4253,shunen ki bhai,out_of_scope,greeting,agent_request,bl
train-4259,anything new foreid,product_search,discount_offer,,en
train-4265,চার্জ কত ভাই,shipping_delivery,price_inquiry,,bn
train-4279,আচ্ছা কবে পাবো আমার অর্ডার,order_status,shipping_delivery,order_status,bn
train-4281,nothing,out_of_scope,goodbye,,en
train-4288,শুনেন সেলের সময় দাম কত হবে,discount_offer,price_inquiry,discount_offer,bn
